Nome,Telefone,Evento,Data,Participou,Observações
Mariana Souza Rocha,(11) 98765-4321,Culto de Celebração de Domingo,23/08/2026,Não,Membro ativa
Carlos Eduardo Santos,(11) 98111-2233,Culto de Celebração de Domingo,23/08/2026,Sim,Líder de Recepção
Roberto Fernando Lima,(11) 97654-3210,Culto de Celebração de Domingo,23/08/2026,Não,Enfermeiro hospital
Ana Paula Ferreira,(11) 98222-3344,Culto de Celebração de Domingo,23/08/2026,Sim,Ministério infantil
Juliana Mendes Duarte,(21) 98888-7766,Culto de Celebração de Domingo,23/08/2026,Não,Visitante 2ª vez
Lucas Gabriel Silveira,(21) 99333-4455,Culto de Celebração de Domingo,23/08/2026,Sim,Músico
Felipe Augusto Ribeiro,(41) 99123-4567,Culto de Celebração de Domingo,23/08/2026,Não,Membro célula
Beatriz Almeida Costa,(31) 98444-5566,Culto de Celebração de Domingo,23/08/2026,Sim,Voluntária
Diego Carvalho Silva,(31) 97777-8899,Culto de Celebração de Domingo,23/08/2026,Não,Jovem
Patrícia Gomes Martins,(11) 99555-6677,Culto de Celebração de Domingo,23/08/2026,Não,Visitante recente
